ZONAS,ESPACIO,OBJETO,Tipo,Variante,L,A,H,m3
ZONAS DE SERVICIO,BAÑOS,TENOLOGIA,Espejo con luz LED,,1.00,0.05,0.80,0.04
ZONAS DE SERVICIO,BAÑOS,TENOLOGIA,Balanza digital,,0.35,0.35,0.05,0.01
ZONAS DE SERVICIO,BAÑOS,MOBILIARIO,Mueble lavamanos,,0.80,0.50,0.85,0.34
ZONAS DE SERVICIO,BAÑOS,MOBILIARIO,Gabinete baño,,0.60,0.30,0.80,0.14
ZONAS DE SERVICIO,BAÑOS,MOBILIARIO,Torre organizadora,,0.40,0.30,1.60,0.19
ZONAS DE SERVICIO,BAÑOS,MOBILIARIO,Repisa flotante,,0.60,0.25,0.25,0.04
ZONAS DE SERVICIO,BAÑOS,MOBILIARIO,Mueble auxiliar,,0.50,0.40,0.90,0.18
ZONAS DE SERVICIO,BAÑOS,MOBILIARIO,Tocador baño,,0.90,0.45,0.85,0.34

ZONAS DE SERVICIO,DEPOSITO O GARAJE,HERRAMIENTAS GRANDES,Banco de trabajo,,1.50,0.70,0.90,0.95
ZONAS DE SERVICIO,DEPOSITO O GARAJE,HERRAMIENTAS GRANDES,Compresor aire,,0.70,0.40,0.70,0.20
ZONAS DE SERVICIO,DEPOSITO O GARAJE,HERRAMIENTAS GRANDES,Hidrolavadora,,0.50,0.40,0.90,0.18
ZONAS DE SERVICIO,DEPOSITO O GARAJE,HERRAMIENTAS GRANDES,Cortadora césped,,1.50,0.60,1.00,0.90
ZONAS DE SERVICIO,DEPOSITO O GARAJE,HERRAMIENTAS GRANDES,Generador eléctrico,,0.70,0.50,0.60,0.21
ZONAS DE SERVICIO,DEPOSITO O GARAJE,HERRAMIENTAS GRANDES,Escalera aluminio,,2.00,0.15,0.15,0.05
ZONAS DE SERVICIO,DEPOSITO O GARAJE,HERRAMIENTAS GRANDES,Caja herramientas rodante,,0.70,0.45,0.90,0.28
ZONAS DE SERVICIO,DEPOSITO O GARAJE,BICICLETAS,Patineta,,0.80,0.25,0.15,0.03
ZONAS DE SERVICIO,DEPOSITO O GARAJE,BICICLETAS,Scooter,,1.20,0.40,1.00,0.48
ZONAS DE SERVICIO,DEPOSITO O GARAJE,BICICLETAS,Bicicleta niño,,1.20,0.50,0.90,0.54
ZONAS DE SERVICIO,DEPOSITO O GARAJE,BICICLETAS,Triciclo,,0.90,0.70,0.70,0.44
ZONAS DE SERVICIO,DEPOSITO O GARAJE,BICICLETAS,Bicicleta ruta,,1.75,0.50,1.00,0.88
ZONAS DE SERVICIO,DEPOSITO O GARAJE,BICICLETAS,Bicicleta adulto,,1.80,0.60,1.10,1.19
ZONAS DE SERVICIO,DEPOSITO O GARAJE,BICICLETAS,Bicicleta montaña,,1.90,0.65,1.15,1.42
ZONAS DE SERVICIO,DEPOSITO O GARAJE,DEPORTE EXTERIOR,Kayak,,3.00,0.70,0.40,0.84
ZONAS DE SERVICIO,DEPOSITO O GARAJE,DEPORTE EXTERIOR,Tabla surf,,2.00,0.60,0.10,0.12
ZONAS DE SERVICIO,DEPOSITO O GARAJE,DEPORTE EXTERIOR,Paddle board,,3.00,0.80,0.15,0.36
ZONAS DE SERVICIO,DEPOSITO O GARAJE,DEPORTE EXTERIOR,Carpa camping,,0.60,0.40,0.30,0.07
ZONAS DE SERVICIO,DEPOSITO O GARAJE,DEPORTE EXTERIOR,Sillas camping,,0.90,0.20,0.20,0.04
ZONAS DE SERVICIO,DEPOSITO O GARAJE,DEPORTE EXTERIOR,Nevera portátil,,0.60,0.40,0.40,0.10
ZONAS DE SERVICIO,DEPOSITO O GARAJE,DEPORTE EXTERIOR,Mochilas,,0.60,0.40,0.30,0.07
ZONAS DE SERVICIO,DEPOSITO O GARAJE,DEPORTE EXTERIOR,Balones (en caja),,0.40,0.40,0.40,0.06
ZONAS DE SERVICIO,DEPOSITO O GARAJE,DEPORTE EXTERIOR,Pesas portátiles,,0.40,0.30,0.20,0.02
ZONAS DE SERVICIO,DEPOSITO O GARAJE,DEPORTE EXTERIOR,Raquetas,,0.80,0.30,0.10,0.02
ZONAS DE SERVICIO,GYM,EQUIPOS,Caminadora,,2.00,0.90,1.40,2.52
ZONAS DE SERVICIO,GYM,EQUIPOS,Bicicleta estática,,1.20,0.60,1.20,0.86
